claim,true_label,predicted_label,confidence
"Dr. Deborah Birx said at a press conference concerning testing for COVID-19 that ""At $50 a test, it wasn’t enough to hire another technician to run the machine full-time. So at $100 a test, it is.",true,true,0.3604
The real Hillary Clinton has been dead since 1998 and was replaced with a clone.,false,false,0.6019
"After Massachusetts passed a mandatory health insurance law ""their mortality rate went down...it saved lives.",true,true,0.4638
"Humira Provides Effective, Non-Steroid Alternative for Eye Inflammation",true,true,0.483
"HIV-positive basketball star Earvin ""Magic"" Johnson donated blood to patients with leukemia.",false,true,0.8369
"Menopause 'hot flash' medicine could cut symptom by three quarters, trial shows",false,true,0.6227
"In February and March 2018, hundreds of Canadian doctors signed a petition asking for the cancellation of pay deals from which they would personally benefit.",true,true,0.3716
Blood test may identify gestational diabetes risk in first trimester,true,true,0.3732
U.S. ‘wasted’ months before preparing for virus pandemic.,true,true,0.9831
An habitual alcohol abuser lost his penis to frostbite after a drunken sexual encounter with a snowman.,false,false,0.5007
Glaxo Touts Experimental Tykerb As Effective Breast-Cancer Treament,mixture,true,0.3755
"Ebola is real, Congo president tells skeptical population.",true,true,0.9753
New breast cancer screening guidelines at odds with Congress,true,true,0.8917
Arminas Pileckas was murdered because he was trying to protect a Swedish girl from sexual harassment by a Syrian refugee.,unproven,true,0.7305
A video investigation showed that Planned Parenthood lies about providing prenatal care.,false,false,0.5057
Wyeth Wins U.S. OK to Sell Pristiq for Depression.,true,true,0.9895
"The stimulus includes ""$219,000 to study the sex lives of female college freshmen.",mixture,true,0.6835
Jury clears J&J of liability in New Jersey talc cancer case.,true,true,0.9936
More women are victims of domestic violence on Super Bowl Sunday than on any other day of the year.,false,true,0.7431
"An ""abortion procedure is actually safer than a vasectomy.",true,false,0.5729
"Dick Black Says Jill McCabe ""supports late term abortions. Larger baby parts are more profitable.",false,true,0.3625
"Donald Trump Says 25 percent of U.S. Muslims ""agreed that violence against Americans here in the United States is justified as a part of the global jihad.",false,false,0.3513
"In 2019, California education authorities formulated a policy that, if implemented, would force parents to allow their children to be taught that ""there are 15 genders.",false,true,0.4224
"In Small Test, Experimental Prostate Drug Shows Promise",mixture,true,0.6352
Trading tires: How the West fuels a waste crisis in Asia.,true,true,0.9138
"When Size Matters, Men Can Turn to Penile Extenders: Study",mixture,true,0.3791
"A Russian asbestos company placed a seal with the face of President Donald Trump on their product with the note ""Approved by Donald Trump, 45th President of the United States.",true,false,0.3815
Death and disease from leptospirosis is spread by rat urine on soda cans.,mixture,false,0.3471
"As a state rep, I was considered the fourth-most conservative in the Legislature.”",mixture,true,0.3512
The Obama administration created a program to provide free cell phones to welfare recipients.,mixture,true,0.4117
A video shows the fluff of poplar trees burning across a field in Spain.,true,true,0.8062
US biologists eye unusual deaths of Alaska ice seals.,true,true,0.9962
"States look to lower drug costs, consider Canadian imports.",true,true,0.9875
Malaysia vaccinating for polio after first case in 27 years .,true,true,0.9916
Biogen's secret campaign to bring its Alzheimer's drug back from the ashes.,true,true,0.5479
Officials worry about Nebraska children’s health care fund.,true,true,0.9963
"Regarding the surgery that saved Jimmy Kimmel's son, ""Medicaid has stopped providing this kind of service.",false,false,0.4149
Penn team finds success with talk therapy for schizophrenics,mixture,true,0.9905
The snakehead fish can survive on land.,true,true,0.5006
"More than 1,000 people ... move to Texas every day.",true,true,0.6451
WWE wrestler Ric Flair was declared brain dead on 16 May 2019.,false,false,0.343
Pulsed radiofrequency relieves acute back pain and sciatica,false,true,0.574
"The government ""knowingly"" injected a birth defect-inducing vaccine into epidurals between 2010 and 2014 to hurt Black women",false,false,0.4472
China reports one more H7N9 bird flu death.,true,true,0.991
A 31-year-old Cincinnati woman was taken to the hospital after the 14-month-old toddler she was babysitting got stuck in her vaginal cavity.,false,true,0.9799
Study Shows Limited Benefits From Calcium,mixture,true,0.3252
"In January 2020, Paula White prayed for all ""satanic pregnancies"" to ""miscarry right now.",mixture,true,0.3657
"Johns Hopkins Hospital issued a ""cancer update"" detailing how cancer spreads and recommending methods for treating the disease.",false,true,0.9953
Japan defends cautious approach on coronavirus testing amid concerns.,true,true,0.9967
Claims of virgin births in U.S. near 1 percent: study.,true,true,0.945
Mobile clinics seen as way to cut U.S. health bill.,true,true,0.9607
Chance the Rapper giving $1M to boost mental health services.,true,true,0.7011
"New nonprofit tackles COVID-19 in Native, rural communities.",true,true,0.9938
"VW ramps up China electric car factories, taking aim at Tesla.",true,true,0.9904
Britain gives scientist go-ahead to genetically modify human embryos.,true,true,0.994
The FBI foiled a Muslim Brotherhood plot to take over the U.S.,unproven,true,0.6959
U.S. Representatives Rashid Tlaib and Ilhan Omar co-sponsored legislation to recognize Muslim holidays as federal holidays.,false,true,0.887
"In January 2019, Second Lady Karen Pence began working as a teacher at a school that bans LGBT teachers and students.",mixture,true,0.3979
Russian president Vladimir Putin slammed Western countries for using GMOs and vaccines that slow evolution.,unproven,true,0.543
"Donald Trump Jr. tweeted, ""Do you know what's deplorable? Being impeached!"" to the Clintons in September 2016.",true,false,0.5055
New drugs show rare promise against advanced breast cancer.,true,true,0.8367
House protects pizza as a vegetable.,true,true,0.906
Penn study: Pay patients to take their pills,true,true,0.9808
"Ken Paxton Says Barack Obama ""acknowledged over 20 times"" that his administration’s Deferred Action for Parents of Americans ""immigration edict was a violation of law and the separation of powers.",false,false,0.4463
Big Island hospital struck by outbreak of scabies.,true,true,0.9939
Tuberculosis infection found at University of Mississippi.,true,true,0.9732
"The Affordable Care Act says that ""at age 76 when you most need it most, you are not eligible for cancer treatment. … Cancer hospital will ration care according to the patient's age.",false,false,0.3813
"‘Critical moment’ for firms amid retirements, opioid crisis.",true,true,0.8809
Eating more fish could prevent Parkinson's disease,false,true,0.3122
Huggies Snug and Dry brand diapers commonly cause severe diaper rash and chemical burns on infants.,unproven,true,0.3935
Eleven states have banned the use of electronic cigarettes inside cars.,false,true,0.8123
The coronavirus has seen a “big surge in New Zealand. It's terrible. We don't want that.,false,false,0.3364
"Shows a waitress saying, ""I lost my job. But I'll sleep better knowing” that the coronavirus relief bill included funding for the Kennedy Center, refugee resettlement, PBS, and congressional salaries: “Thanks, Democrats”",false,false,0.4787
A letter to the editor suggested that 2007's early start to Daylight Saving Time contributed to global warming.,mixture,true,0.3475
A video shows two people waving guns at protesters in front of their home.,true,true,0.7367
Canadians worried by plan to let Americans import drugs.,true,true,0.9942
Breast-Feeding Linked to Reduced Risk of Preemie Eye Problem,true,true,0.3109
Robotic surgeries costlier but safer: study,true,true,0.691
"A Twitter user responded to Stephen King's assertion the COVID-19 pandemic was ""not like The Stand,"" sincerely asking King if he ""even read"" a book he actually wrote.",mixture,false,0.7188
"On Syria, ""a lot of the allies signed on. At the last minute, Obama backed off.",false,true,0.4536
"A photograph shows the Arch of Baal erected on the National Mall in Washington, D.C.",true,true,0.9377
There is no good data showing secondhand smoke kills people.,false,unproven,0.5438
Testosterone gel linked to heart problems.,true,true,0.6365
"During a radio interview, Rosie O'Donnell said, ""I'd like to take my period blood and smear it all over Christians' [or pro-life people's] faces.",mixture,true,0.4006
"Waste not, want not: P&G venture aims to squeeze new life out of Italy's dirty diapers.",true,true,0.5984
"Mike Pence Says Hillary Clinton ""wants to increase Syrian refugees to this country by 550 percent.",true,false,0.3605
Ohio officials say tick-borne Lyme Disease still a threat.,true,true,0.996
Missouri faces vaccination hesitancy amid measles case.,true,true,0.9965
"Southeast Asian nations, among worst ocean polluters, aim to curb plastic debris.",true,true,0.951
The use of cellular phones poses a danger of touching off explosions at gas stations,false,false,0.3573
Georgia teenager Maddie Kelley is endangered and needs help.,mixture,true,0.9272
Britain to complete plan next year to reach net zero transport emissions.,true,true,0.9862
Marijuana legalization has led to an increase in crime and fatalities all over Colorado.,unproven,true,0.6056
Senators: Double funding for universal flu vaccine research.,true,true,0.9796
Jury awards more than $70M to woman in baby powder lawsuit.,true,true,0.9921
"Thailand reports new coronavirus death as total cases reach 1,245.",true,true,0.9946
Democrats push new $3T coronavirus relief bill through House.,true,true,0.9903
"Students at Emory University were offered ""emergency counseling"" after pro-Trump graffiti appeared overnight in campus ""safe spaces.",false,true,0.6575
President Donald Trump has targeted the family of California Senate President Pro Tempore Kevin de León for deportation.,false,true,0.3207
Massachusetts lawmakers weigh ‘Medicare for all’ bill.,true,true,0.9954
"Dr. Leon Eisenberg, the ‘father’ of ADHD, said just before his death that ADHD ‘is a prime example of a fictitious disease.’",true,false,0.696
University of Findlay research students discovered a chemical compound that kills glioblastoma cells.,mixture,true,0.9636
Lilly diabetes drug slashes deaths 32 pct in heart-risk patients,mixture,true,0.6773
"The term ""Black Friday"" originated with the practice of selling off slaves on the day after Thanksgiving.",false,true,0.4898
Judge considers Hammond Ranches grazing permit.,true,true,0.9938
China to ban smoking at indoor public places.,true,true,0.979
Abortionists have reduced our black population by more than 25 percent since 1973.,false,true,0.465
This Blood Test Could Help Predict If A Pregnancy Is At Risk For Premature Labor,true,mixture,0.3527
US lawmaker opposes drilling permit work during shutdown.,true,true,0.9737
Planned Parenthood funding in Texas at stake in hearing.,true,true,0.9684
VA will provide in-home care for Iraq veteran.,true,true,0.9883
Hillary Clinton was forced to cancel a campaign event after a video showed her making lizard-like “bizarre eye movements” that prove she’s suffering the lingering effects of head trauma.,false,false,0.5221
"Chondroitin of little help for arthritis, study says",true,true,0.9399
You can be fined $999 and have your license suspended simply for holding a cell phone in your car as of January 2019.,unproven,false,0.3411
Partial rather than full knee replacements better for many – report,false,true,0.7542
French foie gras makers worry as bird flu spreads in Europe.,true,true,0.9905
Arizona State Senate candidate Bobby Wilson fatally shot his mother in 1963.,true,true,0.4637
"Half of all adults have a pre-existing condition"" that could affect their health care coverage.",true,false,0.3436
"An increase in documented cases of people ""scromiting"" (screaming while vomiting) is linked to chronic heavy marijuana use.",true,false,0.2918
Pro-life activists say Girl Scout cookie sales benefit Planned Parenthood and have called for a boycott.,false,true,0.4552
Authorities in Kenya warned of a new outbreak of HPV that spreads through kissing and is deadlier than HIV/Aids.,false,true,0.9913
FDA launching major anti-tobacco campaign aimed at youth.,true,true,0.9919
There's a promising new HIV vaccine candidate in the pipeline,true,true,0.4785
"In the Illinois Legislature, Barack Obama ""voted 'present,' instead of yes or no"" on seven votes involving abortion rights.",true,false,0.3665
"Hillary Clinton threw a tantrum, and a water glass, after NBC's ""Commander-in-Chief"" Forum in September 2016.",false,false,0.4122
Quarter of passengers on British cruise ship fall sick with norovirus.,true,true,0.9861
"Senator Harry Reid said that he was injured in a freak New Year’s Eve workout accident but actually suffered those injuries in a fight with his brother, Larry Reid.",unproven,true,0.4173
Statins tied to lower risk of fatal prostate cancer,true,true,0.46
"The Baucus health care bill ""could be used to ban guns in home self-defense.",false,false,0.406
A vast majority of the production in the United States comes from small independent oil and gas companies.,mixture,true,0.6569
"The Oklahoma Highway Patrol is using a device called an ""ERAD"" to seize money from people's bank accounts.",mixture,true,0.6945
"As a student at Occidental College in Los Angeles from 1979 to 1981, ""there were days where folks couldn't go outside. … because of all the pollution in the air.",true,true,0.4419
Anti-smoking drug receives FDA approval,mixture,true,0.9189
Brain scans may someday detect autism,mixture,false,0.4297
"Migraine drug could halve the length of attacks, study shows",false,true,0.6384
Planned Parenthood is the biggest abortion provider in the country.,true,true,0.6809
Too Much Fat? Try a Whole-Body Scan Procedure gives far more data than a body-mass index,mixture,false,0.3655
"Donald Trump divorced Ivana Trump because her breast implants were imperfect, and he leaked that information to New York tabloids while they were married.",unproven,false,0.5281
Ed Garvey Says he has exposed plans by Wisconsin Gov. Scott Walker to push legislation that would allow the state to declare financial martial law and take over municipal governments.,false,false,0.3435
"Every time somebody new gets the Ebola virus, it mutates.",mixture,false,0.4917
Expanding Medicaid would create 63k jobs.,mixture,true,0.7822
Cancer risk seen with J&J foot gel: FDA.,true,true,0.9554
The New England Journal of Medicine released a survey the week that President Obama signed Obamacare stating that over 30 percent of American physicians would leave the profession if the government took over health care.,false,true,0.5524
Nestle recalls batch of Alfamino infant formula in Germany.,true,true,0.9926
US OKs Medicaid funds for large mental health facilities.,true,true,0.9683
"“The NFL agreed to give the domestic terror group, BLM, 250 million dollars.”",false,false,0.3711
China heads into Lunar New Year on shutdown as virus spreads to Europe.,true,true,0.9843
"The story of a jazz musician named Tommy who went through a personal tragedy that led to his writing the song “Precious Lord Take My Hand.” He was Tommy Dorsey, the great trombonist and band leader.",false,true,0.8171
A letter by Dr. Keith Albow said President Trump is “stone cold sane” and that “there’s a genius in the Oval Office” in response to critics who have questioned the president’s mental fitness.,true,false,0.4037
"Once a woman enters into the sex trade, her average life expectancy is seven years.",false,true,0.3369
A warning about a chemical called benzene that is linked to cancer such as leukemia . The warning says that benzene can build up inside parked automobiles and suggests that drivers roll down their windows to ventilate the car’s interior prior to switching on the air conditioner.,false,true,0.4934
Women who quit hormone therapy still live with cancer risk,true,true,0.6395
"World must prepare for inevitable next flu pandemic, WHO says.",true,true,0.963
"300,000 Floridians have lost their health insurance"" as a result of Obamacare.",false,false,0.3753
The state of California ignored structural issues with the Oroville dam and paid for programs to benefit undocumented people instead.,false,true,0.9163
"In 2013,"" Dan Patrick voted ""against funding to test the backlog of rape kits, allowing rapists to walk free.",false,false,0.4189
Gene therapy shown to destroy leukemia tumors,true,false,0.3182
Finding cancer that mammograms can miss,mixture,false,0.3596
Heart scans tied to “evidence-free” treatment: study,true,true,0.8541
"Of the top five cities for staged automobile accidents, three are in Florida. … We rank No. 1 in the country in staged auto accidents.",true,true,0.6128
Today’s marijuana is 300 percent to 800 percent more potent than the pot of yesteryear.,true,true,0.374
"On Senate confirmation of judicial nominees, “the Democrats are holding them up beyond anything -- beyond comprehension, they're holding them up.”",mixture,false,0.4048
Pedestrian finds baby alive in bag along Indiana roadway.,true,true,0.9784
"Flashing night-lights may help lessen jet lag, circadian problems",true,false,0.3155
Burundi kicks out top WHO official in country ahead of vote.,true,true,0.995
"Cavs’ Love discloses bouts with panic attacks, mental health.",true,true,0.8664
"Tests show King Tut died from malaria, study says.",true,true,0.9194
NH to apply for Medicaid waiver on mental health treatment.,true,true,0.9881
Colorado pot campaigner seeks 'sanctuary' status for mountain town.,true,true,0.9898
"Steve Scalise Says Ady Barkan asked Joe Biden, “Do we agree that we can redirect some of the funding for police?”",false,false,0.4285
Geron shares fall after cancer drug study update.,true,true,0.9728
"Taiwan's carrot-and-stick approach to virus fight wins praise, but strains showing.",true,true,0.9958
Doors frontman Jim Morrison has been found alive in Paris more than 45 years after he supposedly died there.,false,false,0.4181
Michigan native set to become state’s new state veterinarian.,true,true,0.9926
"If you have a runny nose and sputum, you have a common cold, not Covid-19.",true,false,0.4116
FDA gives fast track status to AstraZeneca's diabetes drug Farxiga.,true,true,0.9893
U.S. McDonald's to put calorie counts in lights.,true,true,0.9809
Statin Drugs May Cut Risk of Kidney Trouble After Surgery,false,true,0.2842
"A year on, Indian anti-Vedanta protesters say still await justice.",true,true,0.5768
"Choose Omega-3s from fish over flax for cancer prevention, study finds",false,true,0.9357
Study: Stroke deaths higher where fried fish aplenty,true,true,0.7851
Blue-green algae (known scientifically as cyanobacteria) are capable of poisoning dogs and other pets.,true,false,0.3653
"As bank president, Alex Sink eliminated thousands of Florida jobs while taking over $8 million in salary and bonuses.",true,true,0.7194
"Say Oregon Reps. Peter DeFazio and Earl Blumenauer are ""socialists who are openly serving in the U.S. Congress.",false,false,0.39
"New blood test may predict cardiovascular events in patients with or without coronary artery disease, research shows",mixture,true,0.769
"1,000 GP practices have closed since 2010.",unproven,true,0.7028
China's blood donations dry up as coronavirus outbreak quells giving.,true,true,0.9918
Stem Cell Research: The Quest Resumes,true,true,0.9578
Old drug could cure HIV-linked dementia,mixture,false,0.4007
Judge blocks NY ban on flavored vaping products.,true,true,0.9936
Wisconsin woman to celebrate 100th birthday.,true,true,0.9783
Eating watermelon could lower your blood pressure,false,false,0.3087
"Under a new law regulating abortions, ""Even if you're raped, if you don't report it in the first 30 days, the Republicans will force you to have an ultrasound.",mixture,false,0.5712
Concussions in kids are detectable by blood test,false,true,0.3636
More cases of rabies in skunks confirmed in Detroit area.,true,true,0.9757
"There’s not one public study, and by public study I mean a study available to the public, that has looked at using the product Kaput to poison feral hogs.",true,false,0.4358
"President Barack Obama ""said over 20 times he did not have the legal authority"" to act as he did on immigration.",true,false,0.3679
FDA approves irritable bowel drug.,true,true,0.9955
Certain diabetes drugs found to double bone fracture risk in women,true,true,0.3257
“The CDC may have to stop calling COVID-19 an ‘epidemic’ due to a remarkably low death rate.”,false,false,0.4785
A woman encountered kidnapping scouts at a Houston Target.,unproven,true,0.8808
A viral warning claims that a drug called burundanga on a business card poisoned a woman and advises people to beware of what has become known as “the zombie drug.”,mixture,false,0.7935
President Obama was arrested in Japan in connection with the seizure of massive amounts of cocaine on his yacht.,false,false,0.3558
Medicare 5-year cancer bill tops $21.1 bln: study.,true,true,0.9859
Hospital closings hit hard on the edge of the Rust Belt.,true,true,0.9706
